#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
295379:5718,05/27/17 23:58:43,31,20,0.000166665,0.000087225
295380:5718,05/28/17 00:10:42,33,21,0.000176348,0.000092913
295381:5718,05/28/17 00:23:18,285,285,0.001447844,0.001261369
295389:5719,05/28/17 06:35:17,11,0,0.000000012,0
295390:5719,05/28/17 06:39:33,308,300,0.001709905,0.001426677
295391:5719,05/28/17 08:38:56,134,124,0.000814231,0.000676336
295392:5719,05/28/17 09:30:49,33,23,0.000196952,0.000119264
295393:5719,05/28/17 09:43:29,43,34,0.000254824,0.000177609
295394:5719,05/28/17 09:59:50,29,7,0.000170676,0.000000103
295395:5719,05/28/17 10:11:02,155,155,0.000888752,0.000772830
295412:5720,05/28/17 12:50:43,8,0,0.000000001,0
295413:5720,05/28/17 12:53:38,2,2,0,0
295435:5722,05/28/17 20:00:37,14,4,0.000000090,0.000000002
295436:5722,05/28/17 20:05:58,111,99,0.002650295,0.001789193
295437:5722,05/28/17 20:48:48,29,18,0.001061449,0.000542328
295438:5722,05/28/17 21:00:02,29,18,0.001053048,0.000519492
295439:5722,05/28/17 21:11:15,28,17,0.001008482,0.000474475
295440:5722,05/28/17 21:22:09,29,18,0.001037653,0.000497124
295441:5722,05/28/17 21:33:23,11,7,0.000391840,0.000000741
295442:5722,05/28/17 21:37:25,10,4,0.000355765,0.000000289
295443:5722,05/28/17 21:41:16,17,8,0.000602824,0.000001458
295444:5722,05/28/17 21:47:45,22,16,0.000777221,0.000336126
295445:5722,05/28/17 21:56:09,39,27,0.001368868,0.000640377
295446:5722,05/28/17 22:11:09,31,19,0.001080725,0.000544928
295447:5722,05/28/17 22:23:07,43,18,0.001490442,0.000489881
295448:5722,05/28/17 22:39:39,29,18,0.000998929,0.000470274
295449:5722,05/28/17 22:50:42,29,17,0.000994489,0.000461504
295450:5722,05/28/17 23:01:40,29,17,0.000989451,0.000464329
295451:5722,05/28/17 23:12:37,24,12,0.000814202,0.000159337
295452:5722,05/28/17 23:21:43,17,6,0.000574442,0.000056938
295453:5722,05/28/17 23:28:07,30,19,0.001009889,0.000493652
295454:5722,05/28/17 23:39:38,29,18,0.000971068,0.000484480
295455:5722,05/28/17 23:50:44,30,17,0.000998673,0.000456361
295456:5722,05/29/17 00:02:06,29,17,0.000959332,0.000455815
295457:5722,05/29/17 00:13:01,29,17,0.000959914,0.000448305
295458:5722,05/29/17 00:24:17,30,18,0.000986518,0.000489582
295459:5722,05/29/17 00:35:40,29,18,0.000948277,0.000475171
295460:5722,05/29/17 00:46:52,102,18,0.003296955,0.000315632
295463:5722,05/29/17 01:26:17,906,906,0.026717455,0.025301950
295595:5730,05/30/17 08:23:32,8,0,0.000000042,0
295598:5730,05/30/17 08:26:34,47,7,0.000485511,0.000000031
295600:5730,05/30/17 08:44:48,49,29,0.001765363,0.000822010
295602:5730,05/30/17 09:03:31,96,36,0.003773198,0.000411427
295603:5730,05/30/17 09:40:47,76,70,0.002862616,0.002223082
295604:5730,05/30/17 10:10:09,15,6,0.000554276,0.000128894
295605:5730,05/30/17 10:15:55,290,251,0.010143584,0.007942001
295606:5730,05/30/17 12:08:22,81,76,0.002645788,0.002416299
295607:5730,05/30/17 12:39:35,15,8,0.000481804,0.000225554
295608:5730,05/30/17 12:45:11,96,61,0.003020337,0.001896503
295610:5730,05/30/17 13:22:24,71,49,0.002171969,0.001359904
295613:5730,05/30/17 13:49:41,265,258,0.007543576,0.007337810
295616:5730,05/30/17 15:32:35,234,210,0.005538900,0.004749341
295628:5730,05/30/17 17:03:18,51,39,0.001309953,0.000786983
295632:5730,05/30/17 17:22:51,32,21,0.000660546,0.000421439
295634:5730,05/30/17 17:35:11,30,18,0.000208879,0.000093372
295635:5730,05/30/17 17:46:33,29,18,0.000180753,0.000097702
295636:5730,05/30/17 17:57:41,39,12,0.000891565,0.000142889
295637:5730,05/30/17 18:12:32,64,51,0.001574766,0.001043994
295638:5730,05/30/17 18:37:15,30,19,0.000727028,0.000320826
295639:5730,05/30/17 18:48:47,31,19,0.000744564,0.000343861
295640:5730,05/30/17 19:00:47,29,18,0.000690394,0.000337637
295641:5730,05/30/17 19:12:01,30,18,0.000708070,0.000335600
295642:5730,05/30/17 19:23:25,43,18,0.001004479,0.000338468
295643:5730,05/30/17 19:39:50,12,3,0.000278231,0.000000782
295644:5730,05/30/17 19:44:26,40,28,0.000920661,0.000510884
295645:5730,05/30/17 19:59:47,29,18,0.000660759,0.000328031
295646:5730,05/30/17 20:11:04,30,19,0.000677586,0.000362882
295647:5730,05/30/17 20:22:41,30,18,0.000671195,0.000302327
295648:5730,05/30/17 20:34:18,31,18,0.000688839,0.000309476
295649:5730,05/30/17 20:46:11,31,19,0.000683407,0.000326002
295650:5730,05/30/17 20:58:11,31,19,0.000678158,0.000327686
295651:5730,05/30/17 21:10:04,17,8,0.000370477,0.000105094
295652:5730,05/30/17 21:16:26,21,5,0.000456614,0.000067717
295653:5730,05/30/17 21:24:31,20,16,0.000433142,0.000000009
295654:5730,05/30/17 21:32:20,10,4,0.000215952,0
295655:5730,05/30/17 21:35:58,434,434,0.008917205,0.008232277
295866:5733,06/01/17 23:01:30,10,0,0,0
295868:5733,06/01/17 23:05:08,155,155,0.000005757,0.000005705
295935:5735,06/02/17 21:34:44,1,0,0,0
295944:5736,06/03/17 00:01:13,14,7,0,0
295945:5736,06/03/17 00:06:18,384,384,0.000022932,0.000021291
295952:5737,06/03/17 04:48:31,10,0,0.000000039,0
295953:5737,06/03/17 04:52:24,206,168,0.005525138,0.004541638
295965:5737,06/03/17 06:12:14,13,5,0.000009093,0.000000012
295966:5737,06/03/17 06:17:14,14,6,0.000009634,0
295967:5737,06/03/17 06:22:18,15,7,0.000010192,0.000000013
295968:5737,06/03/17 06:27:59,14,4,0.000009467,0.000000013
295969:5737,06/03/17 06:33:24,73,56,0.000050029,0.000031720
295971:5737,06/03/17 07:01:36,25,5,0.000017096,0
295972:5737,06/03/17 07:11:09,13,2,0.000008802,0
295973:5737,06/03/17 07:16:02,12,4,0.000008078,0
295974:5737,06/03/17 07:20:21,9,2,0.000006073,0.000000012
295975:5737,06/03/17 07:23:48,17,5,0.000011900,0
295976:5737,06/03/17 07:30:01,21,12,0.000014600,0.000006346
295977:5737,06/03/17 07:37:56,563,542,0.000390998,0.000318236
295978:5737,06/03/17 11:16:23,187,175,0.000154935,0.000130233
295979:5737,06/03/17 12:28:59,59,59,0.000052098,0.000047803
295993:5738,06/03/17 15:15:07,9,0,0,0
295995:5738,06/03/17 15:18:15,129,129,0.000005712,0.000005659
295999:5739,06/03/17 19:03:20,13,0,0,0
296002:5739,06/03/17 19:08:02,261,261,0.000007349,0.000007278
296006:5740,06/03/17 22:27:01,11,0,0,0
296008:5740,06/03/17 22:31:04,45,39,0.000001977,0.000001025
296009:5740,06/03/17 22:48:34,180,180,0.000012003,0.000011890
296066:5746,06/04/17 23:28:20,15,0,0.000000121,0
296069:5746,06/04/17 23:33:49,20,11,0.000000162,0
296070:5746,06/04/17 23:41:17,69,62,0.004224923,0.002333232
296071:5746,06/05/17 00:07:48,74,17,0.005114689,0.000005127
296073:5746,06/05/17 00:36:36,12,4,0.000805041,0.000029428
296074:5746,06/05/17 00:41:14,21,14,0.001393961,0.000759381
296075:5746,06/05/17 00:49:19,171,156,0.007994939,0.006796170
296076:5746,06/05/17 01:55:23,26,15,0.001643995,0.000650788
296077:5746,06/05/17 02:05:22,31,20,0.001938701,0.000722724
296078:5746,06/05/17 02:17:11,26,15,0.001610118,0.000640494
296079:5746,06/05/17 02:27:12,33,15,0.002021182,0.000716208
296081:5746,06/05/17 02:39:54,28,16,0.001696013,0.000536988
296082:5746,06/05/17 02:50:47,12,7,0.000721365,0.000083346
296083:5746,06/05/17 02:55:10,31,16,0.001849287,0.000697978
296084:5746,06/05/17 03:06:57,28,17,0.001652096,0.000683202
296085:5746,06/05/17 03:17:34,32,16,0.001868302,0.000644896
296086:5746,06/05/17 03:29:57,13,7,0.000752705,0.000025643
296087:5746,06/05/17 03:34:58,43,16,0.002463490,0.000598254
296088:5746,06/05/17 03:51:32,31,16,0.001752963,0.000667721
