#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
315362:6621,04/29/18 07:04:37,11,2,0.001913158,0
315363:6621,04/29/18 07:08:35,197,136,0.032819438,0.018479566
315365:6621,04/29/18 08:24:51,39,25,0.006442322,0.004018067
315366:6621,04/29/18 08:40:01,764,764,0.102582439,0.100834468
315400:6622,04/29/18 15:39:12,15,0,0,0
315401:6622,04/29/18 15:44:50,55,44,0.000004264,0.000001713
315402:6622,04/29/18 16:06:06,43,32,0.000009087,0.000006622
315403:6622,04/29/18 16:22:41,69,58,0.000014186,0.000011653
315404:6622,04/29/18 16:49:25,52,39,0.000010534,0.000007753
315405:6622,04/29/18 17:09:36,41,30,0.000007943,0.000005677
315406:6622,04/29/18 17:25:10,86,86,0.000009641,0.000009500
315417:6624,04/29/18 23:33:30,14,0,0.000000200,0
315419:6624,04/29/18 23:38:48,13,2,0.000000190,0.000000019
315420:6624,04/29/18 23:43:40,1754,1754,0.262969840,0.257116677
315487:6628,04/30/18 18:46:14,17,2,0.000000336,0.000000008
315488:6628,04/30/18 18:52:42,1126,1114,0.245414693,0.234588717
315489:6628,05/01/18 02:09:59,730,709,0.106748507,0.102182395
315490:6628,05/01/18 06:53:23,41,41,0.004538946,0.004356961
315503:6629,05/01/18 09:44:47,50,0,0.000023226,0
315506:6629,05/01/18 10:04:00,111,100,0.036839155,0.031134288
315509:6629,05/01/18 10:46:52,61,53,0.019868318,0.016619079
315510:6629,05/01/18 11:10:29,352,346,0.106235965,0.100745732
315512:6629,05/01/18 13:27:09,1125,1125,0.233214496,0.228930780
315542:6633,05/02/18 03:42:46,17,2,0.000000329,0.000000021
315543:6633,05/02/18 03:48:51,173,173,0.041998536,0.040697782
315554:6636,05/02/18 09:18:15,43,3,0.000000876,0.000000032
315555:6636,05/02/18 09:34:39,107,97,0.032470585,0.026350016
315556:6636,05/02/18 10:15:54,37,27,0.012437538,0.008214690
315557:6636,05/02/18 10:30:10,284,284,0.084424387,0.082334904
315638:6638,05/02/18 21:07:03,20,2,0.000000474,0.000000036
315640:6638,05/02/18 21:14:12,109,87,0.027292521,0.014320389
315641:6638,05/02/18 21:56:12,19,4,0.006993108,0.001206105
315642:6638,05/02/18 22:03:16,100,92,0.034716279,0.030611117
315644:6638,05/02/18 22:42:00,198,184,0.067524176,0.061475660
315645:6638,05/02/18 23:58:43,601,594,0.164397367,0.158932344
315646:6638,05/03/18 03:51:56,1048,1033,0.189053391,0.183546425
315647:6638,05/03/18 10:38:46,65,58,0.009198008,0.007608846
315648:6638,05/03/18 11:04:01,123,123,0.016194975,0.015786657
315684:6639,05/03/18 14:29:02,15,0,0.000000356,0
315687:6639,05/03/18 14:34:26,21,12,0.000000494,0.000000019
315688:6639,05/03/18 14:42:30,18,10,0.000000448,0.000000120
315689:6639,05/03/18 14:49:26,1200,1187,0.343797485,0.331354927
315690:6639,05/03/18 22:35:38,659,659,0.117726108,0.115630990
315700:6640,05/04/18 07:47:28,17,0,0.000000338,0
315702:6640,05/04/18 07:53:52,120,113,0.029521731,0.025389966
315703:6640,05/04/18 08:40:27,555,545,0.160056043,0.152388984
315704:6640,05/04/18 12:15:58,69,61,0.016411606,0.014132135
315705:6640,05/04/18 12:42:46,706,706,0.129593148,0.127294813
315712:6641,05/04/18 19:14:38,20,3,0.000000562,0.000000036
315713:6641,05/04/18 19:22:12,1128,1128,0.368727030,0.355807100
315719:6642,05/05/18 04:45:36,28,3,0.000000782,0.000000060
315721:6642,05/05/18 04:55:49,635,635,0.219503832,0.211523159
315739:6643,05/05/18 11:36:27,23,2,0.000000696,0.000000013
315741:6643,05/05/18 11:44:54,97,97,0.028978196,0.027184646
315762:6645,05/05/18 15:27:33,18,2,0.000000501,0.000000013
315764:6645,05/05/18 15:34:30,316,316,0.118349001,0.113000037
315768:6646,05/06/18 02:00:02,16,0,0.000000461,0
315770:6646,05/06/18 02:05:37,336,336,0.127594398,0.122680204
315773:6647,05/06/18 07:37:53,17,0,0.000000470,0
315775:6647,05/06/18 07:44:20,6,6,0.000000170,0.000000142
315782:6648,05/06/18 10:49:04,19,0,0.000000419,0
315784:6648,05/06/18 10:56:07,224,200,0.083081129,0.070443696
315785:6648,05/06/18 12:23:07,315,305,0.109463579,0.102831376
315786:6648,05/06/18 14:25:10,87,82,0.026277812,0.021209789
315787:6648,05/06/18 14:58:43,472,462,0.127622321,0.122026033
315788:6648,05/06/18 18:02:05,16,4,0.003728704,0.000000139
315789:6648,05/06/18 18:07:59,13,3,0.003033215,0.000021835
315790:6648,05/06/18 18:12:53,928,928,0.171653378,0.167863568
315798:6650,05/07/18 06:34:43,1,0,0.000000021,0
315800:6650,05/07/18 06:39:49,638,626,0.223909315,0.212455709
315801:6650,05/07/18 10:57:12,345,345,0.097823481,0.095327662
315840:6654,05/07/18 21:17:19,1137,1137,0.355135662,0.344661399
315971:6659,05/08/18 23:11:44,18,3,0.000000398,0.000000031
315973:6659,05/08/18 23:18:25,924,915,0.287791846,0.277721668
315974:6659,05/09/18 05:17:09,79,79,0.020137948,0.019315660
316057:6662,05/09/18 20:26:02,15,3,0.000000316,0.000000028
316058:6662,05/09/18 20:31:21,410,405,0.143740664,0.136328744
316059:6662,05/09/18 23:10:21,574,568,0.172930717,0.163282062
316060:6662,05/10/18 02:53:15,945,935,0.194569681,0.187856740
316061:6662,05/10/18 09:00:15,216,207,0.034769539,0.032210626
316062:6662,05/10/18 10:24:04,22,22,0.003658387,0.003440787
316080:6663,05/10/18 12:28:33,2,0,0.000000051,0.000000002
316082:6663,05/10/18 12:32:00,389,389,0.148038794,0.143308959
316108:6666,05/10/18 20:54:10,20,7,0.000000405,0.000000107
316109:6666,05/10/18 21:01:36,54,45,0.010039605,0.003542880
316110:6666,05/10/18 21:22:27,217,210,0.084147740,0.079017104
316111:6666,05/10/18 22:46:45,59,48,0.020773267,0.014573458
316112:6666,05/10/18 23:09:31,19,10,0.006499508,0.000000229
316113:6666,05/10/18 23:16:41,68,64,0.022720996,0.019663098
316114:6666,05/10/18 23:42:59,1647,1647,0.371661977,0.362106385
316147:6672,05/11/18 16:32:28,23,2,0.000000459,0.000000023
316149:6672,05/11/18 16:40:50,10,4,0.000000208,0
316150:6672,05/11/18 16:44:28,25,10,0.001290387,0
316151:6672,05/11/18 16:53:50,25,5,0.007980483,0.001399063
316153:6672,05/11/18 17:03:13,775,775,0.252717050,0.245685545
316185:6674,05/12/18 02:39:56,16,3,0.000000330,0.000000040
316186:6674,05/12/18 02:45:54,84,81,0.021700349,0.018238351
316187:6674,05/12/18 03:18:33,2101,2077,0.536605513,0.509898054
316198:6675,05/12/18 18:36:55,1,0,0.000000065,0
316199:6675,05/12/18 18:42:48,1180,1176,0.406878169,0.391612718
316200:6675,05/13/18 02:29:15,19,10,0.004809842,0.002148086
316201:6675,05/13/18 02:36:35,507,498,0.113428524,0.106020320
316202:6675,05/13/18 05:53:20,410,410,0.075814090,0.073317598
316214:6677,05/13/18 11:41:17,2,0,0.000000121,0
316216:6677,05/13/18 11:55:51,488,465,0.189648285,0.172663823
316217:6677,05/13/18 15:05:04,278,264,0.092535997,0.085089435
316218:6677,05/13/18 16:52:48,1031,1023,0.245384508,0.236899957
316219:6677,05/13/18 23:33:20,292,292,0.050109676,0.048576384
316239:6681,05/14/18 05:38:12,624,613,0.222455943,0.210313777
316240:6681,05/14/18 09:45:29,1234,1224,0.284564678,0.273300084
316241:6681,05/14/18 17:44:39,330,330,0.054003079,0.051816297
316268:6683,05/15/18 00:03:59,2,0,0.000000118,0
316271:6683,05/15/18 00:10:24,98,98,0.035453028,0.032571791
316360:6688,05/15/18 17:03:40,2,0,0.000000002,0.000000002
316361:6688,05/15/18 17:09:49,221,215,0.032629840,0.028532316
316362:6688,05/15/18 18:35:05,453,450,0.057688344,0.054941163
316363:6688,05/15/18 21:31:00,55,55,0.005507464,0.005064104
316375:6690,05/16/18 01:42:48,1,0,0.000000002,0
316377:6690,05/16/18 01:52:23,37,33,0.006427292,0.002664649
316378:6690,05/16/18 02:06:25,36,29,0.007553446,0.003270940
316379:6690,05/16/18 02:20:14,80,70,0.016244575,0.008038051
316380:6690,05/16/18 02:51:00,1218,1218,0.175976660,0.171910878
316440:6692,05/16/18 16:42:45,16,8,0.003098060,0.000000017
316441:6692,05/16/18 16:50:11,13,6,0.002136661,0.000000001
316442:6692,05/16/18 16:55:11,6,4,0.001599938,0
316455:6693,05/16/18 19:02:55,51,44,0.013798498,0.010930417
316456:6693,05/16/18 19:33:10,14,3,0.004399107,0.000554557
316457:6693,05/16/18 19:38:29,1461,1461,0.326097095,0.316789864
316464:6694,05/17/18 07:32:52,2,0,0.000000087,0
316469:6694,05/17/18 07:42:15,640,637,0.211471340,0.203617242
316470:6694,05/17/18 11:54:10,480,476,0.117524939,0.112704943
316472:6694,05/17/18 15:00:36,351,351,0.069038261,0.066959999
316504:6696,05/18/18 00:02:50,1,0,0.000000049,0
316505:6696,05/18/18 00:07:30,1341,1341,0.405992814,0.392474396
316556:6699,05/18/18 19:16:59,4,0,0,0
316557:6699,05/18/18 19:25:56,2,1,0.000000002,0.000000002
316559:6699,05/18/18 20:27:00,494,494,0.000675716,0.000661548
316568:6700,05/19/18 02:02:30,2,1,0.000000052,0.000000002
316569:6700,05/19/18 02:07:51,1943,1943,0.496439094,0.481742912
316589:6702,05/19/18 20:44:39,1,0,0.000000020,0
316590:6702,05/19/18 20:49:17,517,517,0.190864699,0.184631664
316612:6706,05/20/18 07:29:11,2,0,0.000000021,0.000000002
316613:6706,05/20/18 07:33:46,219,211,0.035747051,0.033433232
316614:6706,05/20/18 09:10:41,6,2,0.000973401,0.000031496
316615:6706,05/20/18 09:12:46,345,345,0.049805278,0.048727731
316638:6707,05/20/18 13:22:42,2,2,0.000000054,0.000000053
316658:6709,05/20/18 19:44:23,19,0,0.005763207,0
316664:6709,05/20/18 20:04:23,21,13,0.007184736,0.000004862
316665:6709,05/20/18 20:12:33,255,247,0.101559699,0.094985979
316666:6709,05/20/18 21:51:34,989,981,0.281493892,0.269015571
316667:6709,05/21/18 04:15:41,198,198,0.042146068,0.040734934
316700:6710,05/21/18 11:27:57,399,372,0.149106388,0.130413236
316701:6710,05/21/18 14:12:33,486,479,0.146925863,0.138597175
316702:6710,05/21/18 17:21:19,389,389,0.094904005,0.092043528
316714:6711,05/22/18 00:58:06,1,0,0.000000002,0.000000002
316715:6711,05/22/18 01:08:56,56,47,0.019105042,0.006557562
316716:6711,05/22/18 01:30:22,190,181,0.070397425,0.059579907
316717:6711,05/22/18 02:44:01,198,193,0.066041832,0.061149804
316718:6711,05/22/18 04:00:36,353,348,0.101141434,0.095539454
316719:6711,05/22/18 06:17:38,151,144,0.037651978,0.031789538
316720:6711,05/22/18 07:16:07,190,182,0.043195167,0.040113813
316721:6711,05/22/18 08:29:43,42,27,0.008924389,0.003777346
316722:6711,05/22/18 08:45:58,754,751,0.134806473,0.129484051
316723:6711,05/22/18 13:38:49,120,120,0.017197395,0.016711711
316753:6712,05/22/18 16:20:54,2,0,0.000000115,0
316757:6712,05/22/18 16:31:29,7,1,0.002202905,0.000025968
316758:6712,05/22/18 16:39:07,1618,1618,0.459958654,0.443287397
316766:6714,05/23/18 05:30:59,2181,2181,0.565534176,0.547318105
